Frequency (Hz),"Level (dB)
"
15.625000,"-74.372360
"
31.250000,"-66.680687
"
46.875000,"-63.130852
"
62.500000,"-65.075531
"
78.125000,"-66.009514
"
93.750000,"-67.945961
"
109.375000,"-72.543900
"
125.000000,"-77.892151
"
140.625000,"-65.847908
"
156.250000,"-62.536095
"
171.875000,"-63.936264
"
187.500000,"-65.455414
"
203.125000,"-64.205719
"
218.750000,"-62.864033
"
234.375000,"-63.179310
"
250.000000,"-65.404816
"
265.625000,"-67.700401
"
281.250000,"-64.820457
"
296.875000,"-62.645782
"
312.500000,"-62.877064
"
328.125000,"-65.139015
"
343.750000,"-66.301895
"
359.375000,"-66.387466
"
375.000000,"-70.230614
"
390.625000,"-75.748978
"
406.250000,"-73.411301
"
421.875000,"-67.501999
"
437.500000,"-64.589455
"
453.125000,"-61.921013
"
468.750000,"-61.328220
"
484.375000,"-61.409878
"
500.000000,"-59.428139
"
515.625000,"-56.775051
"
531.250000,"-56.058849
"
546.875000,"-57.473915
"
562.500000,"-57.727760
"
578.125000,"-57.572365
"
593.750000,"-59.871517
"
609.375000,"-61.853745
"
625.000000,"-60.435085
"
640.625000,"-64.318512
"
656.250000,"-65.674599
"
671.875000,"-59.914036
"
687.500000,"-58.091381
"
703.125000,"-56.020233
"
718.750000,"-57.909840
"
734.375000,"-58.881382
"
750.000000,"-57.577023
"
765.625000,"-61.874187
"
781.250000,"-65.994415
"
796.875000,"-64.594337
"
812.500000,"-60.246616
"
828.125000,"-60.465179
"
843.750000,"-57.026794
"
859.375000,"-56.911434
"
875.000000,"-56.769306
"
890.625000,"-58.637962
"
906.250000,"-66.643372
"
921.875000,"-65.578285
"
937.500000,"-63.117176
"
953.125000,"-62.366287
"
968.750000,"-65.506973
"
984.375000,"-67.546799
"
1000.000000,"-65.079346
"
1015.625000,"-62.009937
"
1031.250000,"-60.373989
"
1046.875000,"-62.761456
"
1062.500000,"-68.674599
"
1078.125000,"-71.097015
"
